(7,8), (7,2), (1,2), (1,8)
(5,5), (8,4), (9,7), (6,8)
(0,2), (2,9), (1,2), (1,5)
(7,9), (9,6), (1,0), (2,9)
(7,8), (5,1), (2,8), (7,3)
(2,8), (1,7), (3,7), (2,6)
(8,8), (2,8), (8,2), (2,2)
(2,2), (2,2), (2,2), (2,2)
(2,3), (5,4), (1,6), (4,7)
(7,5), (9,6), (7,0), (4,0)
(7,8), (4,5), (4,8), (7,5)
(2,3), (2,7), (0,5), (4,5)
(5,6), (5,2), (5,6), (5,3)
(4,6), (7,6), (4,3), (7,3)
(3,2), (3,2), (5,2), (3,4)
(2,2), (8,5), (7,2), (2,2)
(6,4), (7,3), (8,7), (7,7)
(6,5), (9,0), (4,3), (8,1)
(7,8), (1,7), (4,3), (8,9)
(0,2), (1,2), (1,1), (1,0)
